id_hash,source_lat,source_lon,target_lat,target_lon,road_name,highway_type,source,target
g060dj,14.6275371,121.0524326,14.627323,121.0519598,New York Avenue,tertiary,342,341
g060dj,14.6277487,121.0529241,14.6279936,121.0534899,New York Avenue,tertiary,343,344
g060dj,14.6277487,121.0529241,14.6275371,121.0524326,New York Avenue,tertiary,343,342
g060dj,14.6279936,121.0534899,14.6282465,121.0540665,New York Avenue,tertiary,344,345
g060dj,14.6279936,121.0534899,14.6277487,121.0529241,New York Avenue,tertiary,344,343
g060dj,14.6282465,121.0540665,14.6285005,121.0547032,New York Avenue,tertiary,345,346
g060dj,14.6282465,121.0540665,14.6279936,121.0534899,New York Avenue,tertiary,345,344
g060dj,14.6285005,121.0547032,14.6282465,121.0540665,New York Avenue,tertiary,346,345
1pwugr,14.6268657,121.056246,14.6249404,121.0571523,15th Avenue,tertiary,356,2465
8wydjp,14.627389,121.0574089,14.6279924,121.0571481,Albany Street,residential,358,256
o1ik5u,14.6287801,121.0560842,14.6284967,121.0554626,Ermin Garcia Street,tertiary,360,113
mq1fr0,14.6280302,121.0578126,14.6282818,121.0583988,Ermin Garcia Street,tertiary,361,848
mq1fr0,14.6280302,121.0578126,14.6279924,121.0571481,Ermin Garcia Street,tertiary,361,256
f2eahd,14.630071,121.0298429,14.6296523,121.0297457,Scout Tobias Street,tertiary,362,146
f2eahd,14.6305783,121.0299606,14.630071,121.0298429,Scout Tobias Street,tertiary,363,362
f2eahd,14.6310408,121.0300679,14.6305783,121.0299606,Scout Tobias Street,tertiary,364,363
f2eahd,14.6310408,121.0300679,14.6315729,121.0301914,Scout Tobias Street,tertiary,364,365
f2eahd,14.6315729,121.0301914,14.6310408,121.0300679,Scout Tobias Street,tertiary,365,364
f2eahd,14.6315729,121.0301914,14.6320993,121.0303136,Scout Tobias Street,tertiary,365,366
f2eahd,14.6320993,121.0303136,14.6315729,121.0301914,Scout Tobias Street,tertiary,366,365
f2eahd,14.6320993,121.0303136,14.6326169,121.0304337,Scout Tobias Street,tertiary,366,367
f2eahd,14.6326169,121.0304337,14.6320993,121.0303136,Scout Tobias Street,tertiary,367,366
f2eahd,14.6326169,121.0304337,14.6331584,121.0305706,Scout Tobias Street,tertiary,367,368
